"day","case","new_case","msa"
2020-02-10,0,0,"Atlanta"
2020-02-11,0,0,"Atlanta"
2020-02-12,0,0,"Atlanta"
2020-02-13,0,0,"Atlanta"
2020-02-14,0,0,"Atlanta"
2020-02-15,0,0,"Atlanta"
2020-02-16,0,0,"Atlanta"
2020-03-30,1947,285,"Atlanta"
2020-03-31,2407,460,"Atlanta"
2020-04-01,2558,151,"Atlanta"
2020-04-02,2927,369,"Atlanta"
2020-04-03,3476,549,"Atlanta"
2020-04-04,3798,322,"Atlanta"
2020-04-05,3881,83,"Atlanta"
2020-02-10,1,0,"Boston"
2020-02-11,1,0,"Boston"
2020-02-12,1,0,"Boston"
2020-02-13,1,0,"Boston"
2020-02-14,1,0,"Boston"
2020-02-15,1,0,"Boston"
2020-02-16,1,0,"Boston"
2020-03-30,4055,574,"Boston"
2020-03-31,4859,804,"Boston"
2020-04-01,5665,806,"Boston"
2020-04-02,6569,904,"Boston"
2020-04-03,7639,1070,"Boston"
2020-04-04,8650,1011,"Boston"
2020-04-05,9304,654,"Boston"
2020-02-10,2,0,"Chicago"
2020-02-11,2,0,"Chicago"
2020-02-12,2,0,"Chicago"
2020-02-13,2,0,"Chicago"
2020-02-14,2,0,"Chicago"
2020-02-15,2,0,"Chicago"
2020-02-16,2,0,"Chicago"
2020-03-30,4958,433,"Chicago"
2020-03-31,5906,948,"Chicago"
2020-04-01,6871,965,"Chicago"
2020-04-02,7569,698,"Chicago"
2020-04-03,8759,1190,"Chicago"
2020-04-04,10202,1443,"Chicago"
2020-04-05,11051,849,"Chicago"
2020-02-10,0,0,"Dallas"
2020-02-11,0,0,"Dallas"
2020-02-12,0,0,"Dallas"
2020-02-13,0,0,"Dallas"
2020-02-14,0,0,"Dallas"
2020-02-15,0,0,"Dallas"
2020-02-16,0,0,"Dallas"
2020-03-30,1078,163,"Dallas"
2020-03-31,1213,135,"Dallas"
2020-04-01,1490,277,"Dallas"
2020-04-02,1686,196,"Dallas"
2020-04-03,1884,198,"Dallas"
2020-04-04,2044,160,"Dallas"
2020-04-05,2178,134,"Dallas"
2020-02-10,0,0,"Houston"
2020-02-11,0,0,"Houston"
2020-02-12,0,0,"Houston"
